Surname	First Name	Birth	Death	Birth Place	Nobel Prize in Physics	Nobel Prize in Chemestry	Attended 1st conference	Gave lecture during conference	1927 Scientific comitee	Collaborator	Advisor	Subjects	Education	Employment	AIP 	Wikipedia	other sources		Google Scholar Profile	Web of Science	Note	Advised
Bohr	Niels	1885.10.07	1962.11.18	Copenhagen (Denmark)	1922		0	1	0	["Wheeler, John Archibald","Slater, John Clarke"]	["Christiansen, Christian","Rutherford, Ernest"]	["Electron models","Nuclear physics","Nuclear structure","Quantum theory","Radioactivity","Theoretical physics"]	{"Copenhagen (Denmark)" : ["1906","Master"], "Copenhagen (Denmark)" : ["1911","PhD"]}	{"Cambridge (England)" : ["1911 – 1912","Researcher"],"Manchester (England)" : ["1914 – 1916","Professor of Physics"],"London (England)" : ["",""],"Los Alamos (N.M.)" : ["1943 – 1945","Consultant, Manhattan Project"],"Copenhagen (Denmark)" : ["1912 – 1962","Researcher (1912-1913); Assistant Professor in Physics (1913); Professor of Theoretical Physics (1916); Head, Department of Theoretical Physics (1920-1962); and Director, Institute of Theoretical Physics (1921-1962)"]}	https://history.aip.org/phn/11707002.html		https://archon.nbi.dk/?p=collections/controlcard&id=7	https://www.nbarchive.dk/collections/overview/	https://scholar.google.com/citations?hl=en&user=rOoNFe0AAAAJ	https://www.webofscience.com/wos/author/record/1217256		
Born	Max	1882.12.11	1970.01.05	Wroclaw (Poland)	1954		0	1	0	[]	["Fermi, Enrico","Hilbert, David","Larmor, Joseph","Runge, Carl"]	["Nuclear physics","Quantum mechanics","Wave mechanics"]	{"Göttingen (Germany)" : ["1907","PhD"]}	{"Cambridge (England)" : ["1906 – 1907","Researcher"] , "Berlin (Germany)" : ["1915","Professor (extraordinarius)"] , "Frankfurt am Main (Germany)" : ["1919 – 1920","Professor of Physics"] , "Göttingen (Germany)" : ["1921 – 1933","Professor of Physics"] , "Cambridge (England)" : ["1933 – 1936","Stokes Lecturer of Physics"]}	https://history.aip.org/phn/11707004.html					https://www.webofscience.com/wos/author/record/41531888		
Bragg	William Henry	1862.07.02	1942.03.10	Wigton (England)	1915		0	1	1	["Bragg, William Lawrence"]	["Routh, Edward John"]	["Atomic and molecular physics","Crystallography","X-rays"]	{"Cambridge (England)" : ["1884","Part I degree"],"Cambridge (England)" : ["1885","Part II degree"]}	{"Adelaide (S.A.)" : ["1886 – 1909","Professor of Mathematics and Physics"] , "Leeds (England)" : ["1909 – 1915","Cavendish Professor of Physics"] , "London (England)" : ["1915 – 1925","Quain Professor of Physics"]}	https://history.aip.org/phn/11707005.html					https://www.webofscience.com/wos/author/record/502300		
Brillouin	Léon	1889.08.07	1969.10.04	Sèvres (France)			0	0	0	[]	[]	["Atomic theory","Brillouin scattering","Electric conductivity","Gravity","Nuclear physics","Particles (Nuclear physics)","Quantum theory","Radiation","Solid state physics"]	{"Paris (France)" : ["1921","PhD"]}	{"Paris (France)" : ["1928 – 1932","Professor of Physics"] , "New York (N.Y.)" : ["1949 – 1954","Director of Electronic Education (1949-1952) and Director of Research, Watson Scientific Computing Laboratory (now Thomas J. Watson IBM Research Center) (1952-1954), International Business Machines Corporation (IBM)"]}	https://history.aip.org/phn/11412022.html					https://www.webofscience.com/wos/author/record/593991		
Compton	Arthur Holly	1892.09.10	1962.03.15	Wooster (USA, Ohio)	1927		0	1	0	["Doan, Richard Lloyd", "Hagenow, Charles Frederick", "Simon, Alfred","Allison, Samuel King"]	["Richardson, Owen Willans"]	["Atomic and molecular physics","Cosmic rays","Gamma rays","World War, 1939-1945","X-rays"]	{"Wooster (USA, Ohio)" : ["1913","BS"], "Princeton (USA, N.J.)" : ["1914","Master"], "Princeton (USA, N.J.)" : ["1916","PhD"]}	{"Minneapolis (Minn.)" : ["1916 – 1917","Instructor in Physics"] , "Pittsburgh (Pa.)" : ["1917 – 1919","Research Engineer"] , "St. Louis (Mo.)" : ["1920 – 1923","Wayman Crow Professor of Physics and Head of Physics Department"] , "Chicago (Ill.)" : ["1923 – 1945","Professor of Physics and Swift Distinguished Service Professor"]}	https://history.aip.org/phn/11403003.html					https://www.webofscience.com/wos/author/record/304565		
Curie	Marie	1867.11.07	1934.07.04	Warsaw (Poland)	1903	1911	1	0	1	[]	["Lippmann, Gabriel"]	["Chemical elements","Medical physics","Nuclear physics","Radiation -- Testing","Radioactivity","X-rays"]	{"Paris (France)": ["1903", "PhD"]}	{"Paris (France)" : ["1904 – 1914","Chief Assistant Physics Laboratory (1904-1906); Professor General Physics (1906-1908); Titular Professor of Physics (1908-1914); and Director, Curie Laboratory (1914)"]}	https://history.aip.org/phn/11709001.html							
de Broglie	Louis	1892.08.15	1987.03.19	Dieppe (France)	1929		1	1	0	[]	["Perrin, Jean"]	["Quantum mechanics","Quantum theory"]	{"Paris (France)": ["1924", "PhD"]}	{"Paris (France)" : ["1928 – 1962","Professor of Theoretical Physics"]}	https://history.aip.org/phn/11708003.html					https://www.webofscience.com/wos/author/record/588821		
de Donder	Théophile	1872.08.19	1957.05.11	Brussels (Belgium)			0	0	0	[]	["Poincaré, Henri"]	["Thermodynamics"]	{"Brussels (Belgium)": ["1899", "PhD"]}	{"Brussels (Belgium)": ["1911 - 1942", "Professor"]}	NA	https://en.wikipedia.org/wiki/Th%C3%A9ophile_de_Donder				https://www.webofscience.com/wos/author/record/1952169		
Debye	Peter	1884.03.24	1966.11.02	Maastricht (Netherlands)		1936	0	0	0	[]	[]	["Adiabatiac processes","Atomic theory","Electrolytes","Molecular structure","Nuclear physics","Quantum theory","Solid state physics"]	{"Munich (Germany)": ["1908", "PhD"]}	{"Göttingen (Germany)" : ["1914 – 1920","Professor of Theoretical Physics"] , "Zurich (Switzerland)" : ["1920 – 1927","Principal and Professor of Physics"] , "Leipzig (Germany)" : ["1927 – 1934","Professor of Physics and Director of the Physical Institute"] , "Berlin (Germany)" : ["1934 – 1939","Director, Kaiser Wilhelm Institute for Physics"] , "Ithaca (N.Y.)" : ["1940 – 1966","Chair, Department of Chemistry (1940-1952); Professor of Chemistry (1940-1952); and Professor Emeritus of Chemistry (1952-1966)"]}	https://history.aip.org/phn/11506015.html					https://www.webofscience.com/wos/author/record/236255		
Dirac	Paul	1902.08.08	1984.10.20	Bristol (England)	1933		0	0	0	["Schrödinger, Erwin"]	["Fowler, Ralph Howard"]	["Atomic and molecular physics","Particle physics","Quantum mechanics"]	{"Bristol (England)": ["1921", "BSc"],"Cambridge (England)": ["1926", "Doctorate degree"]}	{"Cambridge (England)" : ["1932 – 1969","Lucasian Professor of Mathematics"] , "Tallahassee (Fla.)" : ["1970 – 1972","Visiting Professor (1970-1971) and Professor (1971-1972)"]}	https://history.aip.org/phn/11709004.html				https://scholar.google.com/citations?hl=en&user=xKhS5MEAAAAJ	https://www.webofscience.com/wos/author/record/389725		
