,author,co-author,year,attribute
0,BOHR N,KRAMERS HA,1924,collaborate
33,LORENTZ HA,BRILLOUIN L,1924,collaborate
34,LORENTZ HA,BRAGG WH,1924,collaborate
36,LORENTZ HA,BOHR N,1924,collaborate
37,LORENTZ HA,EHRENFEST P,1924,collaborate
73,BRILLOUIN L,BRAGG WH,1924,collaborate
75,BRILLOUIN L,BOHR N,1924,collaborate
76,BRILLOUIN L,EHRENFEST P,1924,collaborate
78,BRAGG WH,BOHR N,1924,collaborate
79,BRAGG WH,EHRENFEST P,1924,collaborate
82,BOHR N,EHRENFEST P,1924,collaborate
85,BORN M,HEISENBERG W,1926,collaborate
90,BORN M,HEISENBERG W,1924,collaborate
91,BORN M,HEISENBERG W,1924,collaborate
92,BORN M,HEISENBERG W,1923,collaborate
93,BORN M,HEISENBERG W,1923,collaborate
97,FOWLER RH,BORN M,1927,collaborate
191,EINSTEIN A,EHRENFEST P,1923,collaborate
192,EINSTEIN A,EHRENFEST P,1922,collaborate
248,BRAGG WH,EHRENFEST P,1928,collaborate
325,CURIE M,LORENTZ HA,1927,collaborate
326,CURIE M,EINSTEIN A,1927,collaborate
328,LORENTZ HA,EINSTEIN A,1927,collaborate
360,HEISENBERG W,PAULI WE,1930,collaborate
361,HEISENBERG W,PAULI WE,1929,collaborate
363,KRAMERS HA,HEISENBERG W,1925,collaborate
364,BORN M,HEISENBERG W,1923,collaborate
498,KRAMERS HA,PAULI WE,1923,collaborate
751,CURIE M,LORENTZ HA,1927,collaborate
752,CURIE M,EINSTEIN A,1927,collaborate
753,LORENTZ HA,EINSTEIN A,1927,collaborate
782,LORENTZ HA,BRILLOUIN L,1924,collaborate
783,LORENTZ HA,BRAGG WH,1924,collaborate
785,LORENTZ HA,BOHR N,1924,collaborate
822,BRILLOUIN L,BRAGG WH,1924,collaborate
824,BRILLOUIN L,BOHR N,1924,collaborate
827,BRAGG WH,BOHR N,1924,collaborate
