,author,co-author,year,attribute
0,BOHR N,KRAMERS HA,1924,collaborate
1,BOHR N,SLATER JC,1924,collaborate
2,KRAMERS HA,SLATER JC,1924,collaborate
3,BOHR N,COSTER D,1923,collaborate
4,PIAGGIO HTH,BOHR N,1923,collaborate
5,PIAGGIO HTH,CAMPBELL NR,1924,collaborate
6,PIAGGIO HTH,LORENTZ HA,1924,collaborate
7,PIAGGIO HTH,RUTHERFORD E,1924,collaborate
8,PIAGGIO HTH,DE BROGLIE M,1924,collaborate
9,PIAGGIO HTH,MILLIKAN RA,1924,collaborate
10,PIAGGIO HTH,ONNES HK,1924,collaborate
11,PIAGGIO HTH,WEISS P,1924,collaborate
12,PIAGGIO HTH,BRILLOUIN L,1924,collaborate
13,PIAGGIO HTH,BRAGG WH,1924,collaborate
14,PIAGGIO HTH,DE HAAS WJ,1924,collaborate
15,PIAGGIO HTH,BOHR N,1924,collaborate
16,PIAGGIO HTH,EHRENFEST P,1924,collaborate
17,CAMPBELL NR,LORENTZ HA,1924,collaborate
18,CAMPBELL NR,RUTHERFORD E,1924,collaborate
19,CAMPBELL NR,DE BROGLIE M,1924,collaborate
20,CAMPBELL NR,MILLIKAN RA,1924,collaborate
21,CAMPBELL NR,ONNES HK,1924,collaborate
22,CAMPBELL NR,WEISS P,1924,collaborate
23,CAMPBELL NR,BRILLOUIN L,1924,collaborate
24,CAMPBELL NR,BRAGG WH,1924,collaborate
25,CAMPBELL NR,DE HAAS WJ,1924,collaborate
26,CAMPBELL NR,BOHR N,1924,collaborate
27,CAMPBELL NR,EHRENFEST P,1924,collaborate
28,LORENTZ HA,RUTHERFORD E,1924,collaborate
29,LORENTZ HA,DE BROGLIE M,1924,collaborate
30,LORENTZ HA,MILLIKAN RA,1924,collaborate
31,LORENTZ HA,ONNES HK,1924,collaborate
32,LORENTZ HA,WEISS P,1924,collaborate
33,LORENTZ HA,BRILLOUIN L,1924,collaborate
34,LORENTZ HA,BRAGG WH,1924,collaborate
35,LORENTZ HA,DE HAAS WJ,1924,collaborate
36,LORENTZ HA,BOHR N,1924,collaborate
37,LORENTZ HA,EHRENFEST P,1924,collaborate
38,RUTHERFORD E,DE BROGLIE M,1924,collaborate
39,RUTHERFORD E,MILLIKAN RA,1924,collaborate
40,RUTHERFORD E,ONNES HK,1924,collaborate
41,RUTHERFORD E,WEISS P,1924,collaborate
42,RUTHERFORD E,BRILLOUIN L,1924,collaborate
43,RUTHERFORD E,BRAGG WH,1924,collaborate
44,RUTHERFORD E,DE HAAS WJ,1924,collaborate
45,RUTHERFORD E,BOHR N,1924,collaborate
46,RUTHERFORD E,EHRENFEST P,1924,collaborate
47,DE BROGLIE M,MILLIKAN RA,1924,collaborate
48,DE BROGLIE M,ONNES HK,1924,collaborate
49,DE BROGLIE M,WEISS P,1924,collaborate
50,DE BROGLIE M,BRILLOUIN L,1924,collaborate
51,DE BROGLIE M,BRAGG WH,1924,collaborate
52,DE BROGLIE M,DE HAAS WJ,1924,collaborate
53,DE BROGLIE M,BOHR N,1924,collaborate
54,DE BROGLIE M,EHRENFEST P,1924,collaborate
55,MILLIKAN RA,ONNES HK,1924,collaborate
56,MILLIKAN RA,WEISS P,1924,collaborate
57,MILLIKAN RA,BRILLOUIN L,1924,collaborate
58,MILLIKAN RA,BRAGG WH,1924,collaborate
59,MILLIKAN RA,DE HAAS WJ,1924,collaborate
60,MILLIKAN RA,BOHR N,1924,collaborate
61,MILLIKAN RA,EHRENFEST P,1924,collaborate
62,ONNES HK,WEISS P,1924,collaborate
63,ONNES HK,BRILLOUIN L,1924,collaborate
64,ONNES HK,BRAGG WH,1924,collaborate
65,ONNES HK,DE HAAS WJ,1924,collaborate
66,ONNES HK,BOHR N,1924,collaborate
67,ONNES HK,EHRENFEST P,1924,collaborate
68,WEISS P,BRILLOUIN L,1924,collaborate
69,WEISS P,BRAGG WH,1924,collaborate
70,WEISS P,DE HAAS WJ,1924,collaborate
71,WEISS P,BOHR N,1924,collaborate
72,WEISS P,EHRENFEST P,1924,collaborate
73,BRILLOUIN L,BRAGG WH,1924,collaborate
74,BRILLOUIN L,DE HAAS WJ,1924,collaborate
75,BRILLOUIN L,BOHR N,1924,collaborate
76,BRILLOUIN L,EHRENFEST P,1924,collaborate
77,BRAGG WH,DE HAAS WJ,1924,collaborate
78,BRAGG WH,BOHR N,1924,collaborate
79,BRAGG WH,EHRENFEST P,1924,collaborate
80,DE HAAS WJ,BOHR N,1924,collaborate
81,DE HAAS WJ,EHRENFEST P,1924,collaborate
82,BOHR N,EHRENFEST P,1924,collaborate
83,BORN M,MAYER JE,1932,collaborate
84,BORN M,WIENER N,1926,collaborate
85,BORN M,HEISENBERG W,1926,collaborate
86,BORN M,JORDAN P,1926,collaborate
87,HEISENBERG W,JORDAN P,1926,collaborate
88,BORN M,WIENER N,1926,collaborate
89,BORN M,JORDAN P,1925,collaborate
90,BORN M,HEISENBERG W,1924,collaborate
91,BORN M,HEISENBERG W,1924,collaborate
92,BORN M,HEISENBERG W,1923,collaborate
93,BORN M,HEISENBERG W,1923,collaborate
94,BORN M,INFELD L,1933,collaborate
95,BORN M,FLÜGGE S,1933,collaborate
96,BORN M,FOCK V,1928,collaborate
97,FOWLER RH,BORN M,1927,collaborate
98,FOWLER RH,FISHER JW,1927,collaborate
99,FOWLER RH,HARTREE DR,1927,collaborate
100,BORN M,FISHER JW,1927,collaborate
101,BORN M,HARTREE DR,1927,collaborate
102,FISHER JW,HARTREE DR,1927,collaborate
103,PIAGGIO HTH,BORN M,1925,collaborate
104,PIAGGIO HTH,BROSE HL,1925,collaborate
105,PIAGGIO HTH,JEFFERY GB,1925,collaborate
106,PIAGGIO HTH,HENDERSON A,1925,collaborate
107,PIAGGIO HTH,HOBBS AW,1925,collaborate
108,PIAGGIO HTH,JOIN( JWL,1925,collaborate
109,BORN M,BROSE HL,1925,collaborate
110,BORN M,JEFFERY GB,1925,collaborate
111,BORN M,HENDERSON A,1925,collaborate
112,BORN M,HOBBS AW,1925,collaborate
113,BORN M,JOIN( JWL,1925,collaborate
114,BROSE HL,JEFFERY GB,1925,collaborate
115,BROSE HL,HENDERSON A,1925,collaborate
116,BROSE HL,HOBBS AW,1925,collaborate
117,BROSE HL,JOIN( JWL,1925,collaborate
118,JEFFERY GB,HENDERSON A,1925,collaborate
119,JEFFERY GB,HOBBS AW,1925,collaborate
120,JEFFERY GB,JOIN( JWL,1925,collaborate
121,HENDERSON A,HOBBS AW,1925,collaborate
122,HENDERSON A,JOIN( JWL,1925,collaborate
123,HOBBS AW,JOIN( JWL,1925,collaborate
124,BORN M,FRANCK J,1925,collaborate
125,BORN M,JORDAN P,1925,collaborate
126,BORN M,NORDHEIM L,1925,collaborate
127,JORDAN P,NORDHEIM L,1925,collaborate
128,BORN M,BOLLNOW OF,1925,collaborate
129,BORN M,BLACKMAN M,1933,collaborate
130,BORN M,INFELD L,1933,collaborate
131,BORN M,INFELD L,1933,collaborate
132,BORN M,GERLACH W,1921,collaborate
133,BORN M,GERLACH W,1921,collaborate
134,BORN M,BRODY E,1922,collaborate
135,BORN M,BRODY E,1921,collaborate
136,BORN M,BRODY E,1921,collaborate
137,BRAGG WH,PORTER AW FREDERICK S,1926,collaborate
138,ASTBURY WT,BRAGG WH,1925,collaborate
139,ALVAREZ L,COMPTON AH,1933,collaborate
140,COMPTON AH,HOPFIELD JJ,1933,collaborate
141,COMPTON AH,HOPFIELD JJ,1932,collaborate
142,COMPTON AH,BEARDEN JA,1925,collaborate
143,COMPTON AH,WOO YH,1924,collaborate
144,BENNETT RD,STEARNS JC,1932,collaborate
