no	Year	Authors	Citation	publication	Score
16	1933	Bohr N. 	Licht und Leben 	Naturwissenschaften. 21: 245-250. DOI: 10.1007/Bf01504277	0.329
17	1930	Bohr N. 	Die Atomtheorie und die Prinzipien der Naturbeschreibung 	Die Naturwissenschaften. 18: 73-78. DOI: 10.1007/BF01492422	0.409
18	1929	Bohr N. 	Wirkungsquantum und Naturbeschreibung 	Die Naturwissenschaften. 17: 483-486. DOI: 10.1007/BF01505680	0.363
19	1928	Bohr N. 	The Quantum Postulate and the Recent Development of Atomic Theory 	Nature. 121: 580-590. DOI: 10.1038/121580A0	0.31
20	1928	Bohr N. 	Sommerfeld und die Atomtheorie 	Die Naturwissenschaften. 16: 1036. DOI: 10.1007/BF01506818	0.319
21	1928	Bohr N. 	Das Quantenpostulat und die neuere Entwicklung der Atomistik 	Die Naturwissenschaften. 16: 245-257. DOI: 10.1007/BF01504968	0.343
22	1926	Bohr N. 	Spinning Electrons and the Structure of Spectra 	Nature. 117: 265-265. DOI: 10.1038/117265A0	0.319
23	1926	Bohr N. 	Atomtheorie und Mechanik 	Die Naturwissenschaften. 14: 1-10. DOI: 10.1007/BF01507326	0.341
24	1925	Bohr N. 	Atomic Theory and Mechanics 1 	Nature. 116: 845-852. DOI: 10.1038/116845A0	0.314
25	1924	Bohr N, Kramers H, Slater J.    LXXVI. The quantum theory of radiation 	The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science. 47: 785-802. DOI: 10.1080/14786442408565262	0.484
26	1924	Bohr N, Kramers HA, Slater JC. 	Über die Quantentheorie der Strahlung 	Zeitschrift FüR Physik. 24: 69-87. DOI: 10.1007/Bf01327235	0.654
27	1923	Bohr N. 	Über die Anwendung der Quantentheorie auf den Atombau - I. Die Grundpostulate der Quantentheorie 	Zeitschrift FüR Physik. 13: 117-165. DOI: 10.1007/BF01328209	0.338
28	1923	Bohr N. 	Linienspektren und Atombau 	Annalen Der Physik. 376: 228-288. DOI: 10.1002/Andp.19233760918	0.329
29	1922	Bohr N. 	Der Bau der Atome und die physikalischen und chemischen Eigenschaften der Elemente 	Zeitschrift FüR Physik. 9: 1-67. DOI: 10.1007/BF01326955	0.365
30	1921	Bohr N. 	Zur Frage der Polarisation der Strahlung in der Quantentheorie 	Zeitschrift FüR Physik. 6: 1-9. DOI: 10.1007/BF01327957	0.325
37	1922	Bohr N. 	The difference between series spectra of isotopes [5] 	Nature. 109: 746. DOI: 10.1038/109746A0	0.277
52	1924	Bohr N. 	Zur Polarisation des Fluorescenzlichtes 	Die Naturwissenschaften. 12: 1115-1117. DOI: 10.1007/BF01504640	0.234
56	1923	Bohr N. 	Über den Bau der Atome 	Die Naturwissenschaften. 11: 606-624. DOI: 10.1007/BF01554358	0.227
67	1923	Bohr N, Coster D. 	Röntgenspektren und periodisches System der Elemente 	Zeitschrift FüR Physik. 12: 342-374. DOI: 10.1007/BF01328104	0.214
76	1931	Bohr N. 	Maxwell and modern theoretical physics 	Nature. 128: 691-692. DOI: 10.1038/128691A0	0.208
92	1925	Bohr N. 	Über die Wirkung von Atomen bei Stößen 	Zeitschrift FüR Physik. 34: 142-157. DOI: 10.1007/BF01328464	0.19
99	1925	Bohr N. 	Atomic theory and mechanics 	Nature. 116: 845-852.	0.184
103	1932	Bohr N. 	Faraday lecture. Chemistry and the quantum theory of atomic constitution 	Journal of the Chemical Society (Resumed). 349-384. DOI: 10.1039/JR9320000349	0.18
105	1926	BOHR N. 	Sir Ernest Rutherford, O.M., 	P.R.S Nature. 118: 51-52. DOI: 10.1038/118051a0x	0.178
106	1928	Bohr N. 	Quantum postulate and the recent development of atomic theory 	Nature. 121: 580-591.	0.178
107	1923	Piaggio HTH, Bohr N. 	The Theory of Spectra and Atomic Constitution 	The Mathematical Gazette. 11: 318. DOI: 10.2307/3603781	0.177
108	1933	Bohr N. 	Light and life 	Nature. 131: 421-423. DOI: 10.1038/131421A0	0.176
111	1923	Bohr N. 	The structure of the atom 	Nature. 112: 29-44.	0.168
114	1921	Bohr N. 	Atomic structure [1] 	Nature. 107: 104-107. DOI: 10.1038/107104a0	0.168
115	1921	Bohr N. 	Atomic structure [2]	 Nature. 108: 208-209. DOI: 10.1038/108208b0	0.168
119	1924	Piaggio HTH, Campbell NR, Lorentz HA, Rutherford E, de Broglie M, Millikan RA, Onnes HK, Weiss P, Brillouin L, Bragg WH, de Haas WJ, Bohr N, Ehrenfest P. 	Modern Electrical Theory. Supplementary Chapters. Chapter XVII.: The Structure of the Atom 	The Mathematical Gazette. 12: 117. DOI: 10.2307/3604665	0.157
138	1926	Bohr N. 	Spinning electrons and the structure of spectra [2] 	Nature. 117: 265.	0.014
143	1922	Bohr N. 	The effect of electric and magnetic fields on spectral lines 	Proceedings of the Physical Society of London. 35: 275-302. DOI: 10.1088/1478-7814/35/1/342	0.01
19	1932	Born M, Mayer JE. 	Zur Gittertheorie der Ionenkristalle 	Zeitschrift FüR Physik. 75: 1-18. DOI: 10.1007/BF01340511	0.315
20	1926	Born M, Wiener N. 	Eine neue Formulierung der Quantengesetze für periodische und nicht periodische Vorgänge 	Zeitschrift FüR Physik. 36: 174-187. DOI: 10.1007/BF01382261	0.565
21	1926	Born M, Heisenberg W, Jordan P. 	Zur Quantenmechanik. II. 	Zeitschrift FüR Physik. 35: 557-615. DOI: 10.1007/Bf01379806	0.748
22	1926	Born M, Wiener N. 	A New Formulation of the Laws of Quantization of Periodic and Aperiodic Phenomena 	Journal of Mathematics and Physics. 5: 84-98. DOI: 10.1002/SAPM19265184	0.521
